FileName,mIoU,PixelAcc,IoU_Background,Acc_Background,IoU_Column,Acc_Column,IoU_Dorsal Sepal,Acc_Dorsal Sepal,IoU_Labellum,Acc_Labellum,IoU_Lateral Sepal,Acc_Lateral Sepal,IoU_Petal,Acc_Petal,IoU_Petal_L,Acc_Petal_L,IoU_Petal_R,Acc_Petal_R
000_001_image.png,0.9682,0.9887,0.9789,0.9858,0.9269,0.9499,0.9876,0.9924,0.9480,0.9700,0.9576,0.9895,0.0000,0.0000,0.9896,0.9972,0.9886,0.9944
000_002_image.png,0.9722,0.9911,0.9884,0.9948,0.9284,0.9410,0.9854,0.9924,0.9567,0.9665,0.9733,0.9880,0.0000,0.0000,0.9864,0.9938,0.9868,0.9969
000_003_image.png,0.9697,0.9918,0.9921,0.9959,0.9188,0.9688,0.9794,0.9930,0.9793,0.9845,0.9598,0.9929,0.0000,0.0000,0.9864,0.9890,0.9720,0.9794
000_004_image.png,0.9715,0.9918,0.9868,0.9881,0.9121,0.9980,0.9847,0.9914,0.9639,0.9767,0.9813,0.9939,0.0000,0.0000,0.9858,0.9959,0.9861,0.9980
000_007_image.png,0.9790,0.9937,0.9920,0.9947,0.9411,0.9755,0.9866,0.9935,0.9832,0.9929,0.9816,0.9894,0.0000,0.0000,0.9847,0.9940,0.9836,0.9955
000_008_image.png,0.9673,0.9930,0.9849,0.9874,0.9382,0.9897,0.9760,0.9882,0.9704,0.9839,0.9192,0.9607,0.0000,0.0000,0.9930,0.9973,0.9891,0.9983
000_009_image.png,0.9801,0.9918,0.9834,0.9855,0.9637,0.9925,0.9889,0.9982,0.9656,0.9807,0.9820,0.9934,0.0000,0.0000,0.9900,0.9983,0.9868,0.9961
000_010_image.png,0.9674,0.9932,0.9922,0.9963,0.9179,0.9703,0.9870,0.9949,0.9248,0.9655,0.9820,0.9902,0.0000,0.0000,0.9896,0.9941,0.9786,0.9862
000_011_image.png,0.9169,0.9794,0.9818,0.9930,0.6891,0.6913,0.9636,0.9891,0.9382,0.9925,0.9719,0.9886,0.0000,0.0000,0.9446,0.9914,0.9289,0.9411
000_012_image.png,0.9649,0.9923,0.9890,0.9926,0.8486,0.9342,0.9877,0.9929,0.9802,0.9854,0.9837,0.9954,0.0000,0.0000,0.9793,0.9944,0.9857,0.9900
000_image.png,0.9640,0.9909,0.9829,0.9986,0.9122,0.9642,0.9691,0.9784,0.9630,0.9769,0.9403,0.9599,0.0000,0.0000,0.9892,0.9938,0.9911,0.9935
001_image.png,0.9526,0.9903,0.9841,0.9902,0.8657,0.9410,0.9636,0.9794,0.9472,0.9869,0.9264,0.9471,0.0000,0.0000,0.9917,0.9964,0.9893,0.9966
002_image.png,0.9585,0.9905,0.9820,0.9936,0.8798,0.9020,0.9743,0.9880,0.9684,0.9788,0.9255,0.9459,0.0000,0.0000,0.9904,0.9941,0.9891,0.9973
003_image.png,0.9208,0.9878,0.9840,0.9852,0.9033,0.9889,0.9590,0.9942,0.8762,0.9978,0.7407,0.7797,0.0000,0.0000,0.9902,0.9951,0.9924,0.9960
004_image.png,0.9599,0.9914,0.9835,0.9932,0.8562,0.8887,0.9826,0.9862,0.9637,0.9824,0.9537,0.9730,0.0000,0.0000,0.9892,0.9964,0.9901,0.9942
005_image.png,0.9541,0.9902,0.9823,0.9909,0.8476,0.9870,0.9817,0.9852,0.9630,0.9761,0.9256,0.9783,0.0000,0.0000,0.9884,0.9927,0.9903,0.9950
006_image.png,0.9531,0.9903,0.9818,0.9820,0.8057,0.8138,0.9772,0.9892,0.9740,0.9931,0.9560,0.9845,0.0000,0.0000,0.9906,0.9968,0.9862,0.9991
085_image.png,0.9695,0.9901,0.9847,0.9972,0.9181,0.9727,0.9712,0.9837,0.9763,0.9923,0.9678,0.9771,0.0000,0.0000,0.9841,0.9858,0.9847,0.9868
