epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.63517,2.9004,5.26266,3.60896,0.00144,1,0.1035,0.02773,0.60891,25.155,1.0976,0.08642,0.00042,0.00042
2,7.21236,2.58439,5.11493,3.49953,0.00144,1,0.02477,0.01319,0.66943,25.2637,1.15738,0.0718657,0.00086565,0.00086565
3,9.71916,2.32368,3.99039,3.04994,0.00144,1,0.03821,0.01747,0.75864,24.3296,1.29087,0.0573068,0.0013068,0.0013068
4,12.5883,1.90093,4.49595,2.69508,0.00144,1,0.02122,0.0089,0.99082,14.1594,1.46953,0.0427435,0.00174345,0.00174345
5,14.8736,1.99115,3.83845,2.60463,0.00144,1,0.02075,0.00768,1.0854,11.2927,1.48116,0.0281756,0.0021756,0.0021756
6,16.8145,1.78518,3.75916,2.59212,0.00144,1,0.02025,0.00622,1.17182,11.4889,1.62051,0.0136033,0.00260325,0.00260325
7,19.2061,1.81857,5.46401,2.42207,0.00144,1,0.02067,0.00518,1.26723,14.1678,1.61532,0.00291,0.00291,0.00291
8,21.8064,1.58242,3.21977,2.31931,0.0641,0.15385,0.05329,0.0117,1.36386,14.4057,1.5941,0.00289501,0.00289501,0.00289501
9,23.9194,1.46856,3.74007,2.31168,0.10995,0.38462,0.10139,0.02341,1.33419,13.3452,1.56012,0.00288001,0.00288001,0.00288001
10,26.1718,1.48198,3.22736,2.12016,0.1157,0.38462,0.10935,0.03654,1.3279,13.1051,1.57476,0.00286501,0.00286501,0.00286501
11,28.4277,1.54025,3.34019,2.11998,0.07134,0.23077,0.11231,0.05559,1.18846,13.1131,1.44488,0.00285001,0.00285001,0.00285001
12,30.9503,1.53537,3.03474,2.0991,0.18466,0.61538,0.20606,0.09905,1.23503,13.4405,1.47101,0.00283501,0.00283501,0.00283501
13,33.1187,1.50387,2.90875,2.11615,0.20243,0.69231,0.18685,0.06246,1.22594,13.0714,1.48594,0.00282001,0.00282001,0.00282001
14,35.1327,1.52685,2.883,2.09663,0.11811,0.76923,0.11211,0.04945,1.20415,12.5536,1.51893,0.00280501,0.00280501,0.00280501
15,37.6236,1.45426,2.78498,2.02117,0.11511,0.46154,0.09583,0.03453,1.26534,11.8514,1.52462,0.00279001,0.00279001,0.00279001
16,39.653,1.48083,2.75355,2.16053,0.13971,0.58746,0.11268,0.03354,1.37735,17.5913,1.63545,0.00277501,0.00277501,0.00277501
17,41.6706,1.33247,2.54728,2.01297,0.16735,0.61538,0.15518,0.06123,1.22916,18.943,1.45742,0.00276001,0.00276001,0.00276001
18,43.932,1.25982,2.39013,1.8613,0.14243,0.53846,0.13248,0.05795,1.25554,17.9598,1.47377,0.00274501,0.00274501,0.00274501
19,46.6488,1.44927,2.59237,1.97603,0.10482,0.61538,0.11489,0.04584,1.36352,14.7972,1.56704,0.00273001,0.00273001,0.00273001
20,48.8564,1.49087,2.4427,1.9431,0.13271,0.75351,0.11546,0.04331,1.32429,13.2881,1.55216,0.00271501,0.00271501,0.00271501
21,50.748,1.28138,2.27836,1.93078,0.14853,0.69231,0.13032,0.05153,1.31737,15.8042,1.64486,0.00270002,0.00270002,0.00270002
22,52.7715,1.31696,2.29182,1.92431,0.17812,0.69231,0.14749,0.0559,1.44702,15.7126,1.85516,0.00268502,0.00268502,0.00268502
23,55.0355,1.41581,2.38859,1.94897,0.18303,0.92308,0.1807,0.05563,1.47162,21.0982,1.83145,0.00267002,0.00267002,0.00267002
24,57.4832,1.28849,2.36542,2.02316,0.22476,0.92308,0.2623,0.10772,1.34652,15.3099,1.6349,0.00265502,0.00265502,0.00265502
