epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.02338,1.839,30.7437,2.6891,0.003,0.96429,0.04508,0.01854,0.51533,21.431,0.96033,0.08642,0.00042,0.00042
2,6.38278,2.04622,14.6753,3.20118,0.003,0.96429,0.05535,0.02655,0.61755,5.32714,1.04461,0.0718657,0.00086565,0.00086565
3,8.7528,1.73474,11.1612,2.34369,0.00424,0.96429,0.05008,0.02202,0.79617,5.57408,1.15422,0.0573068,0.0013068,0.0013068
4,11.3478,2.06192,6.17859,2.88896,0.00348,0.89286,0.01892,0.00663,0.82027,5.69198,1.26213,0.0427435,0.00174345,0.00174345
5,13.4558,1.47284,6.23454,2.03187,0.0036,0.96429,0.02107,0.00665,1.13868,5.77431,1.48118,0.0281756,0.0021756,0.0021756
6,15.6133,1.50157,6.17817,2.07279,0.00308,0.85714,0.01122,0.0033,1.37913,5.3783,1.7832,0.0136033,0.00260325,0.00260325
7,18.0676,1.58889,4.73165,2.18085,0.00295,0.85714,0.02933,0.00753,1.2907,4.17874,1.5682,0.00291,0.00291,0.00291
8,20.9155,1.79993,4.7446,2.39835,0.00243,0.71429,0.01511,0.00481,1.40582,3.77001,1.76267,0.00289501,0.00289501,0.00289501
9,23.1025,1.396,5.46701,2.05766,0.00203,0.60714,0.01844,0.00475,1.20233,3.72493,1.69097,0.00288001,0.00288001,0.00288001
10,25.148,1.7681,5.54586,2.16343,0.00166,0.46429,0.02311,0.00821,1.17677,3.65859,1.63203,0.00286501,0.00286501,0.00286501
11,27.6406,1.42769,4.62491,2.09857,0.00223,0.60714,0.0344,0.01026,1.2394,3.32028,1.58899,0.00285001,0.00285001,0.00285001
12,30.0341,1.88792,3.74759,2.54522,0.00344,0.85714,0.04386,0.01389,1.21629,3.19376,1.59056,0.00283501,0.00283501,0.00283501
13,32.2984,1.26598,4.76655,1.758,0.00336,0.71429,0.0333,0.00816,1.22678,3.32087,1.72246,0.00282001,0.00282001,0.00282001
14,34.2124,1.64716,4.03873,2.41966,0.14546,0.03571,0.07168,0.01396,1.1857,3.30166,1.65861,0.00280501,0.00280501,0.00280501
15,36.4782,0.96131,5.11145,1.47814,0.00443,0.89286,0.03879,0.01301,1.27119,3.19611,1.65166,0.00279001,0.00279001,0.00279001
16,38.46,1.44021,4.85495,1.71973,0.00462,0.89286,0.06142,0.02661,1.21217,2.91001,1.46555,0.00277501,0.00277501,0.00277501
17,40.5595,1.14815,5.26789,1.535,0.00335,0.60714,0.02455,0.00828,1.25328,3.02298,1.58346,0.00276001,0.00276001,0.00276001
18,43.0114,1.09601,4.77686,1.48781,0.00291,0.46429,0.01262,0.00525,1.55835,3.1747,1.85571,0.00274501,0.00274501,0.00274501
19,45.725,1.06169,4.20969,1.66209,0.00261,0.46429,0.00912,0.00335,1.60127,3.18121,2.00832,0.00273001,0.00273001,0.00273001
20,48.5386,1.13002,4.44532,1.61399,0.00327,0.53571,0.02706,0.00879,1.34359,3.00825,1.73687,0.00271501,0.00271501,0.00271501
21,50.4928,1.61011,3.90639,2.21943,0.00534,0.78571,0.07795,0.03064,1.20355,2.66592,1.51541,0.00270002,0.00270002,0.00270002
22,52.7679,1.49698,3.84858,2.22007,0.00618,0.75,0.06986,0.02653,1.20084,2.78711,1.54763,0.00268502,0.00268502,0.00268502
23,55.0051,1.32821,3.81223,1.98337,0.15595,0.10714,0.0525,0.02294,1.16505,2.87869,1.48387,0.00267002,0.00267002,0.00267002
24,57.1007,1.17369,4.34837,1.54372,0.02119,0.39286,0.03896,0.01391,1.30212,2.83382,1.62781,0.00265502,0.00265502,0.00265502
25,59.7166,1.24219,4.04371,1.59137,0.00522,0.57143,0.03313,0.01373,1.30398,2.80234,1.61604,0.00264002,0.00264002,0.00264002
26,62.3521,0.90152,3.93863,1.3199,0.00681,0.64286,0.04005,0.01372,1.36165,2.77293,1.64598,0.00262502,0.00262502,0.00262502
27,64.4396,1.20504,3.7277,1.75925,0.00783,0.67857,0.04864,0.01488,1.36225,2.77274,1.63418,0.00261002,0.00261002,0.00261002
28,66.6882,0.78126,3.88908,1.28812,0.00859,0.67857,0.05265,0.01546,1.50635,2.82245,1.82163,0.00259502,0.00259502,0.00259502
29,69.3742,1.22714,3.31098,1.99528,0.00917,0.71429,0.02985,0.00869,1.63781,3.03074,1.98559,0.00258002,0.00258002,0.00258002
30,71.2941,1.08882,3.46699,1.60613,0.00885,0.75,0.03271,0.01086,1.51802,2.93455,1.81472,0.00256502,0.00256502,0.00256502
31,73.9321,1.0651,3.2685,1.76241,0.0083,0.64286,0.02356,0.00839,1.53212,3.17779,1.77678,0.00255002,0.00255002,0.00255002
32,75.9614,1.54333,3.29481,2.15455,0.05101,0.28571,0.03981,0.01268,1.50023,3.16811,1.75041,0.00253502,0.00253502,0.00253502
33,78.235,1.32683,3.3073,1.66018,0.0987,0.10714,0.05139,0.01752,1.41603,2.84739,1.6232,0.00252002,0.00252002,0.00252002
34,80.6041,1.12872,3.46428,1.45647,0.18787,0.17857,0.08425,0.02214,1.32042,2.76339,1.52437,0.00250502,0.00250502,0.00250502
